Progress,Duration__in_seconds_,UserLanguage,Age,Gender,Countryborn,Stateborn,Countrycurrent,Statecurrent,Yearscurrent,Ethnicity,Race,OtherText,SexOrient,Childbiodad,Childbiomom,Childstepdad,Childstepmom,Childadoptdad,Childadoptmom,Childaunt,Childuncle,Childgrandfather,Childgrandmother,Childfosterdad,Childfostermom,Currentbiodad,Currentbiomom,Currentstepdad,Currentstepmom,Currentadoptdad,Currentadoptmom,Currentaunt,Currentuncle,Currentgrandfather,Currentgrandmother,Currentfosterdad,Currentfostermom,Primarychild,Primarynow,Samesex,Parentdecease,Parentdeceasetext,Siblings,Primmomnow,Primdadnow,Hoursmom,Hoursdad,SubSES,FatherEd,FatherEdText,MotherEd,MotherEdText,Religionnow,ReligChristother,ReligOther,OtherMaternal,OtherMaternalText,DyadM1,DyadM2,DyadM3,DyadM4,DyadM5,DyadM6,DyadM7,DyadM8,DyadM9,DyadM10,DyadM11,DyadM12,DyadM13,DyadM14,DyadM15,DyadM16,DyadM17,DyadM18,DyadM19,DyadM20,DyadM21,DyadM22,DyadM23,DyadM24,DyadM25,NRIM1,NRIM2,NRIM3,NRIM4,NRIM5,NRIM6,NRIM7,NRIM8,NRIM9,NRIM10,NRIM11,NRIM12,NRIM13,NRIM14,NRIM15,NRIM16,NRIM17,NRIM18,NRIM19,NRIM20,NRIM21,NRIM22,NRIM23,NRIM24,NRIM25,NRIM26,NRIM27,NRIM28,NRIM29,NRIM30,NRIM31,NRIM32,NRIM33,NRIM34,NRIM35,NRIM36,NRIM37,NRIM38,NRIM39,NRIM40,NRIM41,NRIM42,NRIM43,NRIM44,NRIM45,NRIM46,NRIM47,NRIM48,NRIM49,NRIM50,NRIM51,NRIM52,NRIM53,NRIM54,NRIM55,NRIM56,NRIM57,NRIM58,NRIM59,NRIM60,NRIM61,NRIM62,NRIM63,NRIM64,OtherPaternal,OtherPaternalText,DyadF1,DyadF2,DyadF3,DyadF4,DyadF5,DyadF6,DyadF7,DyadF8,DyadF9,DyadF10,DyadF11,DyadF12,DyadF13,DyadF14,DyadF15,DyadF16,DyadF17,DyadF18,DyadF19,DyadF20,DyadF21,DyadF22,DyadF23,DyadF24,DyadF25,NRIF1,NRIF2,NRIF3,NRIF4,NRIF5,NRIF6,NRIF7,NRIF8,NRIF9,NRIF10,NRIF11,NRIF12,NRIF13,NRIF14,NRIF15,NRIF16,NRIF17,NRIF18,NRIF19,NRIF20,NRIF21,NRIF22,NRIF23,NRIF24,NRIF25,NRIF26,NRIF27,NRIF28,NRIF29,NRIF30,NRIF31,NRIF32,NRIF33,NRIF34,NRIF35,NRIF36,NRIF37,NRIF38,NRIF39,NRIF40,NRIF41,NRIF42,NRIF43,NRIF44,NRIF45,NRIF46,NRIF47,NRIF48,NRIF49,NRIF50,NRIF51,NRIF52,NRIF53,NRIF54,NRIF55,NRIF56,NRIF57,NRIF58,NRIF59,NRIF60,NRIF61,NRIF62,NRIF63,NRIF64,COS1,COS2,COS3,COS4,COS5,COS6,COS7,COS8,COS9,COS10,COS11,COS12,COS13,COS14,COS15,COS16,FPS1,FPS2,FPS3,FPS4,FPS5,FPS6,FPS7,FPS8,FPS9,FPS10,SBQ1,SBQ2,SBQ3,SBQ4,SBQ5,SBQ6,SBQ7,SBQ8,SBQ9,SBQ10,SBQ11,SBQ12,SBQ13,SBQ14,SBQ15,SBQ16,SBQ17,SBQ18,SBQ19,SBQ20,SBQ21,SBQ22,SBQ23,SBQ24,SBQ25,YRBS1,YRBS2,YRBS3,YRBS4,YRBS5,YRBS6,YRBS7,YRBS8,YRBS9,YRBS10,YRBS11,YRBS12,YRBS13,YRBS14,YRBS15,YRBS16,YRBS17,SDQ1,SDQ2,SDQ3,SDQ4,SDQ5,SDQ6,SDQ7,SDQ8,SDQ9,SDQ10,SDQ11,SDQ12,SDQ13,SDQ14,SDQ15,SDQ16,SDQ17,SDQ18,SDQ19,SDQ20,SDQ21,SDQ22,SDQ23,SDQ23b,SDQ24,SDQ25,FACES1,FACES2,FACES3,FACES4,FACES5,FACES6,FACES7,FACES8,FACES9,FACES10,FACES11,FACES12,FACES13,FACES14,FACES15,FACES16,FACES17,FACES18,FACES19,FACES20,FACES21,FACES22,FACES23,FACES24,FACES25,FACES26,FACES27,FACES28,FACES29,FACES30,FACES31,FACES32,FACES33,FACES34,FACES35,FACES36,FACES37,FACES38,FACES39,FACES40,FACES41,FACES42,FACES43,FACES44,FACES45,FACES46,FACES47,FACES48,FACES49,FACES50,FACES51,FACES52,FACES53,FACES54,FACES55,FACES56,FACES57,FACES58,FACES59,FACES60,FACES61,FACES62,TSCL1,TSCL2,TSCL3,TSCL4,TSCL5,TSCL6,TSCL7,TSCL8,TSCL9,TSCL10,TSCL11,TSCL12,TSCL13,TSCL14,TSCL15,TSCL16,TSCL17,TSCL18,TSCL19,TSCL20,TSCL21,TSCL22,TSCL23,TSCL24,TSCL25,TSCL26,TSCL27,TSCL28,TSCL29,TSCL30,TSCL31,TSCL32,TSCL33,TSCL34,TSCL35,TSCL36,TSCL37,TSCL38,TSCL39,TSCL40,ETI1,ETI2,ETI3,ETI4,ETI5,ETI6,ETI7,ETI8,ETI9,ETI10,ETI11,ETI12,ETI13,ETI14,ETI15,ETI16,ETI17,ETI18,ETI19,ETI20,ETI21,ETI22,ETI23,ETI24,ETI25,ETI26,ETI27,ETI28,ETI29,Qualitative,Source,PsyContM,BehContM,PhysAsM,InducReasM,PsyContF,BehContF,PhysAsF,InducReasF,NRIMCompanion,NRIMConflict,NRIMInstrument,NRIMAntag,NRIMIntimate,NRIMNurturance,NRIMAffection,NRIMReassurance,NRIMRelative,NRIMReliable,NRIFCompanion,NRIFConflict,NRIFInstrument,NRIFAntag,NRIFIntimate,NRIFNurturance,NRIFAffection,NRIFReassurance,NRIFRelative,NRIFReliable,COShindivid,COSvindivid,COShcollect,COSvcollect,CFPSprag,CFPSCompas,SSBQtotal,SUtobacc,SUalcoho,SUmarij,SUillicit,SUtotal,SDQemote,SDQconduct,SDQhyper,SDQpeerprob,SDQprosocial,FACEdisen,FACEenmesh,FACErigid,FACEchaotic,FACEcomm,FACEsatis
82,3131,EN,18,2,187,5,187,25,1,White,1, ,Straight,1,1, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,1, , ,2,2,8,3, ,2, ,13, ,N/a, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,7,9,8,9,9,9,6,9,9,9,9,9,6,9,7,6,3,3,3,5,5,5,5,5,5,5,4,1,4,2,2,3,1,1,2,4,4,1,2,2, ,2,2,1,2,2,3,2,2,2,2,1,1,1,1,1,2,2,1, ,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,2,3,1,3,1,1,3,1,2,3,1,1,3,3,1,1,1,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MSSTATE1,7,5,5,36,7,5,5,40,13,8,15,3,15,15,15,25,4,15,15,8,15,3,15,15,15,25,3,15,31,36,30,33,24,20, ,5,4,2, , ,8,7,9,9,14, , , , , , 
83,2092,EN,18,2,187,25,187,25,18,white,1, ,straight,1,1, , , , , , , , , , , ,1, , , , , , , , , , ,2,2,2, , ,3, , ,1,1,6,5, ,3, ,1,nondenominational christian, , , ,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,2,1,5,3,4,1,5,2,3,2,4,5,5,5,5,2,4,5,5,3,3,1,5,3,3,1,5,2,3,5,5,5,5,5,5,5,5,3,3,1,4,3,4,1,5,2,3,5,5,5,5,4,4,5,5,5,5,5,5,5,5, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,4,1,5,3,4,1,5,1,3,1,4,5,5,5,5,2,4,5,5,3,4,1,4,3,4,1,4,2,4,5,5,5,5,5,5,5,5,3,4,1,4,4,5,1,4,1,3,2,4,5,5,4,4,5,5,4,4,4,4,5,5, , ,8,7,8,7,8,5,8,9,8,5,5,8,8,6,7,8,5,5,5,5,5,5,5,5,5,5,2,1, ,4,3,2,1,1,4, ,2, , ,4, ,3,1,4,2,1, ,1,2, ,2,1,1,3,1,1,4,1,1, ,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,1,1,3,3,1,3,1,1,2,4,4,4,2,3,4,4,4,2,2,3,1,5,3,2,2,2,3,4,4, ,2,2,2,4,4,3,2,3,2,3,4,3,2,4,3,2,4,4,2,3,2,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,4,3,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MSSTATE1,8,5,5,32,7,5,5,32,9,6,9,3,6,12,15,24, ,15,9,7,10,3,4,8,12,23, ,15,32,23,28,32,30,20, ,7,5,2, , ,10,8,11,11,13, ,14,20,17,39,36
83,2609,EN,19,1,163, ,187,25,19, ,2, ,women, ,1, , , , , , , , , , , ,1,1, , , , , , , , , ,2,2,2,2, ,1, ,Step Father,2,1,7,3, ,2, ,1, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,4,4,2,4,5,5,1,5,5,5,2,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,4,4,1,1,1,1,1,1,1,4,1,3,1,4,5,5,5,5,1,4,3,3,1,3,1,3,1,3,1,5,1,3,1,3,5,5,4,4,3,3,2,1,1,4,1,1,1,5,1,4,1,4,1,3,1,3,1,4,1,3,1,2,3,2,5,5,7,7,7,8,8,8,8,8,9,9,6,6,8,7,8,8,3,3,4,3,4,4,4,4,4,4,4,1,4,4,2,1,1,1,4,4,4,3,3,1,3,1,1,1,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,3,2,1,3,1,3,2,3,3,2,3,1,2,3,2,2,3,1,2,3,3,1,1,2,2,2,4,3,2,2,2,2,4,4,3,3,2,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,1,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,NO,MSSTATE1,7,5,5,40,7,5,5,30,14,9,15,3,15,11,14,25,7,15,4,6,3,3,3,3,7,14,11,7,32,31,29,30,21,16,86,5,2,2, , ,12,6,11,12,15,19,19,19,17,31,40
84,2552,EN,18,1,187,44,187,25,less than a year,white,1, ,heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2,2, ,1, , ,1,1,5,2, ,3, ,2, , , , ,4,4,4,1,4,2,4,1,2,2,1,3,1,1,2,1,1,4,4,4,4,4,4,4,4,1,3,2,3,4,3,4,3,1,3,4,2,5,3,4,3,5,1,4,4,2,1,4,3,4,4,3,3,3,4,3,3,5,5,3,3,3,3,3,3,4,2,3,3,4,2,1,3,2,3,4,3,3,3,4,2,5,5,4,5,5,5,2,1, , ,3,3,3,1,3,1,4,2,1,2,1,2,1,1,1,1,1,4,4,5,4,4,4,4,4,2,3,1,4,3,5,1,4,3,4,3,4,3,3,3,3,3,3,4,4,4,4,2,3,3,4,2,3,2,3,3,4, , ,3,4,4,4,2,3,1,3,3,4,1,4,2,4,1,3,3,3,3,4,4,4,5,5,4,5,4,5,2,3,8,9,7,5,6,5,6,6,7,8,5,4,9,5,5,5,4,4,4,5,4,4,4,4,5,4,2,1, ,2,1,2,1,1,2,4,4,3,4,3,1, ,1,4,3,1,2,3,1,2,1,1,1,1,1,1,2,1,1, ,1,1,1,1,1,1,1,1,2,3,1,2,3,2,1,2,2,3,3,2,1,2,2,2,2,2,2,3,3,2,3,2,1,2,3,2,4,1,3,3,3,5,2,3,4,2,4,3,2,3,2,1,4,3,4,2,1,4,3,4,4,2,4,1,4,3,2,1,3,4,4,3,4,1,3,5,4,4,4,4,4,4,4,4,4,2,3,2,3,4,4,5,3,3,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MSSTATE1,23,9,6,32,18,8,5,33,6,14,11,11,5,9,10,20,8,11,8,8,9,4,7,7,7,18,8,12,30,27,23,20,25,17, ,5,3,2, , ,9,10,13,12,11,22,13,20,20,38,35
84,471,EN,19,1,187,25,187,25,19,White,1, ,Heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,1,1,2,2, ,1, , ,1,1,6,3, ,3, ,11, , , , ,5,4,4,4,4,5,3,5,4,5,4,5,3,4,3,4,4,3,5,4,4,3,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2, , ,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,3,1, ,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MSSTATE1,29,23,18,31,22,15,15,24,8,8,6,6,6,6,6,10,5,6,6,8,6,6,6,6,6,10,8,6,20,20,20,20,18,12, ,5,4,2, , ,12,10,10,10,10,35,35,35,35,50,50
84,2826,EN,18,1,187,25,187,25,18,white,1, ,heterosexual,1,1,1,1, , , , , , , , ,1,1,1,1, , , , , , , , ,2,2,2,2, ,3, , ,1,1,8,5, ,2, ,1, , , , ,5,4,4,5,4,5,5,2,2,5,3,2,1,1,1,1,1,1,5,5,5,4,3,3,5,2,2,4,1,4,4,5,1,2,1,4,2,5,2,2,1,4,2,4,2,3,2,5,1,2,2,5,1,2,1,4,4,5,5,4,3,4,2,4,2,5,1,4,4,4,3,2,1,3,3,4,3,2,1,4,3,5,5,3,3,3,3,1,1, , ,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,4,4,4,5,2,2,1,5,3,3,1,5,2,2,3,2,5,5,4,4,4,4,5,5,5,5,2,4,4,4,2,3,2,3,4,5,5,5,5,5,5,5,2,2,1,4,3,3,4,4,2,2,3,2,2,2,2,2,5,5,2,2,2,2,4,4,3,3,1,9,7,8,4,8,9,8,7,8,8,9,9,5,9,7,5,5,5,5,4,5,4,5,4,4,4,1,4,2,1,1,1,1,2,4,4,1,3,4,1,2,1,1,3,4,4,2,2,1,2,1,1,7,2,1,5,5,3, ,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,3,3,3,3,2,1,3,2,2,3,2,2,3,2,3,1,2,1,2,3,1,4,2,4,3,3,1,4,4,4,1,4,2,2,2,2,2,2,4,2,2,2,2,4,2,2,3,3,2,4,4,2,2,4,2,3,3,2,4,2,3,2,3,4,2,2,3,4,2,1,3,1,1,2,4,2,1,3,1,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MSSTATE1,32,14,5,31,9,5,5,36,9,16,10,14,6,11,12,16,6,12,9,8,10,7,6,10,12,17,10,15,21,30,33,32,29,17,71,12,10,4, , ,10,11,10,10,14,18,19,21,15,26,19
84,17799,EN,19,1,187,25,187,25,19,american,1, ,heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2,2, ,2,mother,father,2,2,7,1, ,2, ,11, , , , ,2,1,1,2,3,1,1,1,1,1,2,2,1,1,1,1,1,2,4,4,4,5,5,3,5,2,3,1,5,5,5,2,4,4,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,4,5,1,5,2,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,1,5,2,5,2,5,5,5,4,5,5,5,5,5,5,5,5,5,2,2, , ,1,1,1,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,5,4,5,1,5,5,5,1,5,2,5,5,5,5,5,5,5,2,5,5,5,4,5,1,5,5,5,1,5,2,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,1,5,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,9,8,7,3,4,8,9,4,8,7,8,9,2,9,8,5,5,5,5,5,5,5,5,5,5,2,1,2,3,2,2,1,2,1,2,2,4,2,1,1,4,2,4,2,1,2,1,2,4,3,3,3,7,1,1,4,4,1, ,1,1,1,1,1,1,3,1,3,2,1,3,1,1,3,2,3,2,3,1,1,3,3,1,3,1,1,3,3,1,1,1,1,2,5,3,1,2,2,2,5,5,2,2,2,2,5,5,2,2,2,2,4,4,2,2,4,2,4,2,2,2,2,2,4,2,2,4,4,3,5,4,2,2,3,2,5,5,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,no,MSSTATE1,11,7,5,32,10,6,5,32,10,11,14,4,8,12,12,24,8,15,12,8,15,3,6,12,12,25,6,15,21,23,32,32,30,20,60,15,8,2, , ,7,7,12,9,15,13,16,19,15,41,43
84,2379,EN,18,1,187,44,187,44,18,caucasian,1, ,straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2,2, ,3, , ,1,1,6,2, ,2, ,2, , , , ,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,5,5,5,5,2,2,1,4,4,4,2,4,5,5,4,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,2,5,4,5,4,5,5,5,5,5,5,5,3,2,1,4,4,5,1,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,2,1, , ,2,1,2,3,3,2,2,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,2,3,2,4,5,5,2,4,4,3,4,5,5,5,5,5,3,5,5,5,5,5,2,4,5,4,1,4,3,3,4,5,5,5,5,5,5,5,3,4,2,5,5,5,1,5,4,4,3,5,5,5,5,5,5,5,5,5,4,5,5,5,1,1,8,8,6,7,8,5,6,6,6,8,7,8,7,4,7,7,4,5,5,5,5,5,5,5,3,5,2,1,2,4,2,3,1,1,4,4,3,2,3,3,2,2,1,1,3,2,4,1,3,1,2,1,1,5,2,1,3,2,1, ,1,1,1,1,1,1,1,1,3,1,1,2,1,1,2,1,3,1,3,1,1,3,1,2,3,1,1,3,3,1,1,2,1,3,5,4,2,1,3,1,5,5,2,2,3,1,5,5,2,1,1,1,3,4,1,3,4,2,2,4,1,1,2,1,3,3,2,1,3,1,4,5,2,2,2,1,3,4,5,5,4,5,4,5,4,5,4,4,4,4,5,5,3,4,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MSSTATE1,11,5,5,37,15,5,5,39,9,11,13,5,14,11,12,25,7,15,10,10,15,4,11,11,12,25,5,15,29,25,26,28,29,18,76,10,5,2, , ,8,6,9,9,14,12,11,18,8,44,42
84,1299,EN,18,1,187,44,187,25,16,White,1, ,Straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2,2, ,3, , ,1,1,6,5, ,4, ,8, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,4,4,3,5,2,3,2,3,3,3,2,3,1,2,4,3,5,3,4,4,4,2,5,4,5,5,2,4,4,4,2,4,1,3,1,4,5,4,3,3,5,5,4,4,2,4,3,3,2,4,2,3,1,4,5,4,5,4,5,4,5,4,5,4,5,4,2,2, , ,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1, ,4,4,4,3,3,3,4,3,2,3,2,3,3,4,2,3,1,4,2,3,4,5,3,4,5,4,5,4,4,4,3,4,3,4,2,4,1,4,1,3,4,3,4,4,5,4,2,4,2,4,4,4,2,4,1,4,1,4,5,4,4,4,4,4,4,4,4,4,4,4,1,1,8,7,7,6,6,2,7,6,7,7,6,6,6,6,7,7,4,4,4,5,3,4,4,3,4,4,2,1,2,4,1,1,1,1,3,2,4,1,3,4,1,2,1,1,3,1,4,2,3,1,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,2,1,1,3,1,2,2,1,2,2,3,2,2,2,1,2,1,2,3,2,1,1,2,2,1,1,1,2,2,2,2,2,2,3,2,3,4,2,2,2,2,4,4,4,1,2,2,4,4,2,2,2,1,4,4,3,1,2,2,4,4,3,2,2,2,4,4,4,2,2,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MSSTATE1,7,5,5,30,7,5, ,28,11,10,10,6,4,6,7,22,8,15,8,11,10,6,3,4,6,19,7,14,27,22,27,25,24,15,67,5,2,2, , ,13,6,9,7,11,20,12,15,13,38,40
84,4942,EN,18,1,187,25,187,25,18,Black African American,2, ,heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2,2, ,2,Biological mother,Biological mother,1,1,7,4, ,5, ,11, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,3,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,9,1,9,9,9,8,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1, ,1,3,1,1,1,1,3,3,3,3,1,3,1,1,3,1,3,3,1,1,3,3,1,3,3,1,3,5,4,2,3,4,1,5,5,1,1,5,5,4,3,3,4,2,2,1,1,4,4,2,4,2,3,4,3,2,4,3,2,3,3,3, ,2, ,2,2,4,5,5,4,5,4,4,3,2,4,2,4,5, ,5,5,5,5,4,4,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,No,MSSTATE1,7,5,5,40,7,5,5,40,14,10,15,4,15,15,15,24,10,15,13,12,15,3,12,15,15,25,12,15,36,27,36,36,30,20,52,5,2,2, , ,12,7,9,13,13,19,20,22, ,37, 
