"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","subject","sona_id","button_pressed","responses","success","view_history","question_order","score","timepoint","SE_reward_offered","indifference_point","effort_level"
"1792.0000000000005","Welcome to the experiment. Press any key to begin.","77","html-keyboard-response","0","1799","6s7kfv","","","","","","","","","","",""
"1951","<h1 style=""text-align:center;"">UNSW Sydney</h1>    <p style=""text-align:left;line-height:190%;margin:16px 80px;""><br>Thank you for applying to participate in this study. <b>""You Choose!""</b> is a psychological study investigating the relationship between decision-making and people&apos;s approach to effort. To participate you will need to be using a computer (with keyboard and mouse/trackpad) and be in a quiet, distraction free space. It involves the following steps:</p><ol style=""text-align:left;line-height:190%;margin:16px 80px;""><li>  We ask for your informed consent. Please read the participant information statement and consent form closely on the next page. <br></li><li>  You will then be asked some questions about yourself.<br></li><li>  In the experiment you will engage in a series of choices between rewards that either do or do not require effort.<br></li><li>  Before starting the experiment, a detailed explanation of how to complete it will be given. <br></li><li>  In total it should take about 30 minutes to complete.<br></li></ol><p style=""text-align:left;line-height:190%;margin:16px 80px;"">Please <u>do not</u> use the ""back""    button on your browser or close the window until you reach the end of the experiment.   This is very likely to break the experiment and may make it difficult for you to receive your SONA credit.   However, if something does go wrong, please contact us! DO NOT PARTICIPATE TWICE! When you are ready to begin, click on   the ""START"" button below.<br><br></p>","","html-button-response","1","3763","6s7kfv","","0","","","","","","","","",""
"1676","<p style=""text-align:right;font-size:90%;margin:16px 80px;margin-top:30px;""></p>			<p style=""text-align:center;""><b>THE UNIVERSITY OF NEW SOUTH WALES<br>			PARTICIPANT INFORMATION STATEMENT</b><br><br><b>You Choose!</b><br></p>			<p style=""text-align:left;font-size:90%;margin:16px 80px;""><b>What is the research study about?</b><br>You are invited to take part in this research study. The research study aims to investigate the relationship between decision-making and people&apos;s approach to effort, as well as their real-world relevance. You have been invited to participate because you are studying PSYC1A or PSYC1B at UNSW.<br><br>       <b>Who is conducting this research?</b><br>			The study is being carried out by the following researchers: Lara Guerreiro and Steven B. Most, UNSW Sydney School of Psychology<br><br>			<b>Do I have to take part in this research study?</b><br>			Participation in this research study is voluntary. If you do not want to take part, you do not have to. If you decide to take part and later change your mind, you are free to withdraw from the study at any stage.<br><br>			<b>What does participation in this research require, and are there any risks involved?</b><br>If you decide to take part in this research study, we will ask you to provide information about yourself, including your UNSW student number, your age and gender, as well as information regarding your current and previous course enrolment at UNSW. 
    You will answer some questions about your approach to schoolwork. You will be asked to type a number of words backwards and then will engage in a series of choices 
    between rewards that either do or do not require effort. At the end, you will be asked whether you provide consent to one final question. We don&apos;t expect this 
    research to cause any harm. However, you may skip any or all written or verbal questions if you wish.  Please let the researchers know if you need any assistance for any reason.<br><br>     <b>What are the possible benefits to participation?</b><br>     We cannot promise that you will receive any benefits from this study, but we hope to use the findings from this study to better understand people&apos;s approaches to effort. <br><br>			<b>What will happen to information about me?</b><br>			The information that you give us will be stored indefinitely after the project&apos;s completion. Although your UNSW Student ID will initially be linked with your data, it will be removed upon the study&apos;s completion, at which point your data will be deidentified, with your Student ID replaced with non-identifiable, unique participant identifier numbers.  		Researchers at UNSW are requested to store their aggregated research data in the UNSW data repository, this is a system called ResData. Once the aggregated data are deposited into this repository, they will be retained in this system permanently, but in a format where your data will not be individually identifiable.			Answers that you give during the study may be used for publication, and may be shared with other researchers. However this data will be de-identified meaning that it will not be linked to personal information about you.<br><br>			<b>Total Participation Time and Recompense to Participants</b><br>			In total, participation in this study will require about 30 minutes. You will receive 0.5 credit points as recompense for your participation. </b> <br><br>			<b>How and when will I find out what the results of the research study are?</b><br>			The research team intend to publish and/ report the results of the research study in a variety of ways. All information published will be done in a way that will not identify you. If you would like to receive a copy of the results you can let the research team know by e-mailing A/Prof Steven Most (s.most@unsw.edu.au). We will only use these details to send you the results of the research.</b> <br><br>			<b>Inquiries</b><br>			If you have any questions or concerns following your participation, A/Prof Steven Most (+61 2 9385 3827, email. s.most@unsw.edu.au) will be happy to address them. Complaints about the study may be directed to UNSW Human Research Ethics Coordinator, (phone +61 2 9385 6222, email humanethics@unsw.edu.au).<br><br> 			Please read this consent form before proceeding (you can download the pdf <a href=""consent_form.pdf"" target=""_blank"">here</a>).<br>			<br>			<p style=""text-align:center;""><b>PARTICIPANT CONSENT</b></p>			<p style=""text-align:left;font-size:90%;margin:16px 80px;"">By continuing, you are making a decision whether or not to participate.  Clicking the button below indicates that, having read the information provided on the participant information sheet and consent form, you have decided to participate.<br><br></p>","","html-button-response","2","5440","6s7kfv","","0","","","","","","","","",""
"7539","","","survey-html-form","3","12982","6s7kfv","","","{""student_id"":""5317359"",""age"":""22"",""gender"":""female""}","","","","","","","",""
"11759","","","survey-html-form","4","24742","6s7kfv","","","{""q1"":""PSYC1B "",""q2"":""yes""}","","","","","","","",""
"2140.9999999999964","<div style=color:red;'><b><h1 style='text-align:center; width:100%;'>Please make sure you are in a<br></br>distraction free space.<br></br><br></br>This includes turning off your phone and any<br></br>other notifications.<br></br><br></br>This task will take 30 minutes to complete.</h1></div><br></br>","","html-button-response","5","26885","6s7kfv","","0","","","","","","","","",""
"","","","fullscreen","6","28983","6s7kfv","","","","true","","","","","","",""
"1151","","","instructions","7","30137","6s7kfv","","","","","[{""page_index"":0,""viewing_time"":1150}]","","","","","",""
"14658","","","survey-likert","8","44798","6s7kfv","","","{""Q0"":-1,""Q1"":-1,""Q2"":1,""Q3"":-1,""Q4"":-1}","","","[0,1,2,3,4]","-3","","","",""
"2088","","","instructions","9","46889","6s7kfv","","","","","[{""page_index"":0,""viewing_time"":2088}]","","","","","",""
