Progress,Duration__in_seconds_,UserLanguage,Age,Gender,Countryborn,Stateborn,Countrycurrent,Statecurrent,Yearscurrent,Ethnicity,Race,OtherText,SexOrient,Childbiodad,Childbiomom,Childstepdad,Childstepmom,Childadoptdad,Childadoptmom,Childaunt,Childuncle,Childgrandfather,Childgrandmother,Childfosterdad,Childfostermom,Currentbiodad,Currentbiomom,Currentstepdad,Currentstepmom,Currentadoptdad,Currentadoptmom,Currentaunt,Currentuncle,Currentgrandfather,Currentgrandmother,Currentfosterdad,Currentfostermom,Primarychild,Primarynow,Samesex,Parentdecease,Parentdeceasetext,Siblings,Primmomnow,Primdadnow,Hoursmom,Hoursdad,SubSES,FatherEd,FatherEdText,MotherEd,MotherEdText,Religionnow,ReligChristother,ReligOther,OtherMaternal,OtherMaternalText,DyadF1,DyadF2,DyadF3,DyadF4,DyadF5,DyadF6,DyadF7,DyadF8,DyadF9,DyadF10,DyadF11,DyadF12,DyadF13,DyadF14,DyadF15,DyadF16,DyadF17,DyadF18,DyadF19,DyadF20,DyadF21,DyadF22,DyadF23,DyadF24,DyadF25,SDQ1,SDQ2,SDQ3,SDQ4,SDQ5,SDQ6,SDQ7,SDQ8,SDQ9,SDQ10,SDQ11,SDQ12,SDQ13,SDQ14,SDQ15,SDQ16,SDQ17,SDQ18,SDQ19,SDQ20,SDQ21,SDQ22,SDQ23,SDQ23b,SDQ24,SDQ25
82,3131,EN,18,2,187,5,187,25,1,White,1, ,Straight,1,1, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,1, , ,2,2,8,3, ,2, ,13, ,N/a, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,3,1,1,2,2,1,2,2,3,1,3,1,1,3,1,2,3,1,1,3,3,1,1,1,1,3
83,2092,EN,18,2,187,25,187,25,18,white,1, ,straight,1,1, , , , , , , , , , , ,1, , , , , , , , , , ,2,2,2, , ,3, , ,1,1,6,5, ,3, ,1,nondenominational christian, , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,1,1,3,3,1,3,1,1,2
83,2609,EN,19,1,163, ,187,25,19, ,2, ,women, ,1, , , , , , , , , , , ,1,1, , , , , , , , , ,2,2,2,2, ,1, ,Step Father,2,1,7,3, ,2, ,1, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,4,4,3,2,1,3,1,3,2,3,3,2,3,1,2,3,2,2,3,1,2,3,3,1,1,2,2,2
84,2552,EN,18,1,187,44,187,25,less than a year,white,1, ,heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2,2, ,1, , ,1,1,5,2, ,3, ,2, , , , ,3,3,3,1,3,1,4,2,1,2,1,2,1,1,1,1,1,4,4,5,4,4,4,4,4,2,3,1,2,3,2,1,2,2,3,3,2,1,2,2,2,2,2,2,3,3,2,3,2,1,2
84,471,EN,19,1,187,25,187,25,19,White,1, ,Heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,1,1,2,2, ,1, , ,1,1,6,3, ,3, ,11, , , , ,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
84,2826,EN,18,1,187,25,187,25,18,white,1, ,heterosexual,1,1,1,1, , , , , , , , ,1,1,1,1, , , , , , , , ,2,2,2,2, ,3, , ,1,1,8,5, ,2, ,1, , , , ,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,4,4,4,5,3,1,1,2,2,1,2,3,3,3,3,2,1,3,2,2,3,2,2,3,2,3,1,2,1,2
84,17799,EN,19,1,187,25,187,25,19,american,1, ,heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2,2, ,2,mother,father,2,2,7,1, ,2, ,11, , , , ,1,1,1,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,5,3,2,1,3,1,1,3,2,3,2,3,1,1,3,3,1,3,1,1,3,3,1,1,1,1,2
84,2379,EN,18,1,187,44,187,44,18,caucasian,1, ,straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2,2, ,3, , ,1,1,6,2, ,2, ,2, , , , ,2,1,2,3,3,2,2,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,3,1,1,2,1,1,2,1,3,1,3,1,1,3,1,2,3,1,1,3,3,1,1,2,1,3
84,1299,EN,18,1,187,44,187,25,16,White,1, ,Straight,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2,2, ,3, , ,1,1,6,5, ,4, ,8, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1, ,4,4,4,3,3,3,4,3,3,1,2,2,1,2,2,3,2,2,2,1,2,1,2,3,2,1,1,2,2,1,1,1,2,2
84,4942,EN,18,1,187,25,187,25,18,Black African American,2, ,heterosexual,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2,2, ,2,Biological mother,Biological mother,1,1,7,4, ,5, ,11, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,3,1,1,1,1,3,3,3,3,1,3,1,1,3,1,3,3,1,1,3,3,1,3,3,1,3
