Progress,Duration__in_seconds_,UserLanguage,Age,Gender,Countryborn,Stateborn,Countrycurrent,Statecurrent,Yearscurrent,Childbiodad,Childbiomom,Childstepdad,Childstepmom,Childadoptdad,Childadoptmom,Childaunt,Childuncle,Childgrandfather,Childgrandmother,Childfosterdad,Childfostermom,Currentbiodad,Currentbiomom,Currentstepdad,Currentstepmom,Currentadoptdad,Currentadoptmom,Currentaunt,Currentuncle,Currentgrandfather,Currentgrandmother,Currentfosterdad,Currentfostermom,Primarychild,Primarynow,Samesex,Parentdecease,Parentdeceasetext,Siblings,Primmomnow,Primdadnow,Hoursmom,Hoursdad,SubSES,FatherEd,FatherEdText,MotherEd,MotherEdText,Religionnow,ReligChristother,ReligOther,OtherMaternal,OtherMaternalText,DyadF1,DyadF2,DyadF3,DyadF4,DyadF5,DyadF6,DyadF7,DyadF8,DyadF9,DyadF10,DyadF11,DyadF12,DyadF13,DyadF14,DyadF15,DyadF16,DyadF17,DyadF18,DyadF19,DyadF20,DyadF21,DyadF22,DyadF23,DyadF24,DyadF25,FACES1,FACES2,FACES3,FACES4,FACES5,FACES6,FACES7,FACES8,FACES9,FACES10,FACES11,FACES12,FACES13,FACES14,FACES15,FACES16,FACES17,FACES18,FACES19,FACES20,FACES21,FACES22,FACES23,FACES24,FACES25,FACES26,FACES27,FACES28,FACES29,FACES30,FACES31,FACES32,FACES33,FACES34,FACES35,FACES36,FACES37,FACES38,FACES39,FACES40,FACES41,FACES42,FACES43,FACES44,FACES45,FACES46,FACES47,FACES48,FACES49,FACES50,FACES51,FACES52,FACES53,FACES54,FACES55,FACES56,FACES57,FACES58,FACES59,FACES60,FACES61,FACES62
82,3131,EN,18,2,187,5,187,25,1,1,1, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,1, , ,2,2,8,3, ,2, ,13, ,N/a, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
83,2092,EN,18,2,187,25,187,25,18,1,1, , , , , , , , , , , ,1, , , , , , , , , , ,2,2,2, , ,3, , ,1,1,6,5, ,3, ,1,nondenominational christian, , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,2,2,3,1,5,3,2,2,2,3,4,4, ,2,2,2,4,4,3,2,3,2,3,4,3,2,4,3,2,4,4,2,3,2,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,4,3,4,4,4
83,2609,EN,19,1,163, ,187,25,19, ,1, , , , , , , , , , , ,1,1, , , , , , , , , ,2,2,2,2, ,1, ,Step Father,2,1,7,3, ,2, ,1, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,4,4,4,3,2,2,2,2,4,4,3,3,2,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,1,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
84,2552,EN,18,1,187,44,187,25,less than a year,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2,2, ,1, , ,1,1,5,2, ,3, ,2, , , , ,3,3,3,1,3,1,4,2,1,2,1,2,1,1,1,1,1,4,4,5,4,4,4,4,4,3,2,4,1,3,3,3,5,2,3,4,2,4,3,2,3,2,1,4,3,4,2,1,4,3,4,4,2,4,1,4,3,2,1,3,4,4,3,4,1,3,5,4,4,4,4,4,4,4,4,4,2,3,2,3,4,4,5,3,3,4,4
84,471,EN,19,1,187,25,187,25,19,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,1,1,2,2, ,1, , ,1,1,6,3, ,3, ,11, , , , ,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
84,2826,EN,18,1,187,25,187,25,18,1,1,1,1, , , , , , , , ,1,1,1,1, , , , , , , , ,2,2,2,2, ,3, , ,1,1,8,5, ,2, ,1, , , , ,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,4,4,4,5,3,1,4,2,4,3,3,1,4,4,4,1,4,2,2,2,2,2,2,4,2,2,2,2,4,2,2,3,3,2,4,4,2,2,4,2,3,3,2,4,2,3,2,3,4,2,2,3,4,2,1,3,1,1,2,4,2,1,3,1,1,3
84,17799,EN,19,1,187,25,187,25,19,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2,2, ,2,mother,father,2,2,7,1, ,2, ,11, , , , ,1,1,1,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,5,5,3,1,2,2,2,5,5,2,2,2,2,5,5,2,2,2,2,4,4,2,2,4,2,4,2,2,2,2,2,4,2,2,4,4,3,5,4,2,2,3,2,5,5,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,5,5
84,2379,EN,18,1,187,44,187,44,18,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2,2, ,3, , ,1,1,6,2, ,2, ,2, , , , ,2,1,2,3,3,2,2,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,4,2,1,3,1,5,5,2,2,3,1,5,5,2,1,1,1,3,4,1,3,4,2,2,4,1,1,2,1,3,3,2,1,3,1,4,5,2,2,2,1,3,4,5,5,4,5,4,5,4,5,4,4,4,4,5,5,3,4,4,5
84,1299,EN,18,1,187,44,187,25,16,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2,2, ,3, , ,1,1,6,5, ,4, ,8, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1, ,4,4,4,3,3,3,4,3,2,2,2,2,3,2,3,4,2,2,2,2,4,4,4,1,2,2,4,4,2,2,2,1,4,4,3,1,2,2,4,4,3,2,2,2,4,4,4,2,2,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
84,4942,EN,18,1,187,25,187,25,18,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2,2, ,2,Biological mother,Biological mother,1,1,7,4, ,5, ,11, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,4,2,3,4,1,5,5,1,1,5,5,4,3,3,4,2,2,1,1,4,4,2,4,2,3,4,3,2,4,3,2,3,3,3, ,2, ,2,2,4,5,5,4,5,4,4,3,2,4,2,4,5, ,5,5,5,5,4,4,3,2
84,3061,EN,18,1,187,44,187,44,18,1,1, , , , , , , , , , , ,1,1, , , , , , , , , ,2,2,2,1,dad,1,my mom,step dad,2,1,7,3, ,3, ,1, , , , ,1,1,1,1,1,1,1,2,4,4,1,2,1,1,1,1,1,1,2,3,2,2,2,2,2,4,4,3,4,4,3,3,2,1,3,4,1,3,2,4,3,4,2,2,3,2,3,3,1,4,3,2,5,3,1,3,5,3,2,3,1,2,2,2,4,4,3,3,3,3,4,3,3,3,2,2,3,3,3,2,3,3,2,2,2,2,3
84,5692,EN,18,1,187,44,187,25,13,1,1, , , , , , , , , , , ,1, , , , , , , , , , ,2,2,2,2, ,3, , ,1,1,6,5, ,5, ,1,Baptist, , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,4,4,3,3,2,4,5,1,4,4,4,3,3,2,4,3,1,2,2,4,3,3,4,1,4,1,2,4,2,1,5,2,3,2,2,4,4,5,4,3,3,4,2,3,3,2,2,3,2,2,3,3,3,2,3,2,3,5
84,497,EN,21,1,187,25,187,25,21, ,1, , , , , , , , , , , ,1, , , , , , , , , , ,2,2,2,2, ,4, , ,2,3,5,3, ,3, ,11, , , , ,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,2,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,2,1,2,3,4,5,4,3,2,1,1,1,2,3,4,5,5,4,3,2,1,1,2,3,4,1,2,3,4,5,5,4,3,2,1
84,20055,EN,18,1,187,25,187,19,10,1, , , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2,2, ,3, , ,2,2,3,2, ,3, ,11, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,4,4,2,4,4,3,3,4,2,2,4,4,2,2,2,2,4,4,2,2,2,1,4,3,2,2,4,3,4,4,4,3,4,1,4,4,4,2,4,3,4,3,3,3,3, ,3,4,3,3,4,4,4,3,3,3,3,2,3,4,4,4,4,4,4,4
84,2464,EN,20,1,187,25,187,25,20,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,1,2,2, ,1,NA,NA,1,1,7,3, ,3, ,1,Methodist, , , ,1,1,2,2,2,1,3,2,2,1,2,2,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,1,1,4,3,4,4,2,2,4,2,4,4,2,2,3,2,4,4,2,2,2,2,4,4,2,2,4,2,4,4,3,2,2,2,4,4,4,4,4,4,5,5,4,4,3,3,3,4,4,4,4,4,4,4
84,106721,EN,18,1,187,11,187,11,18,1,1, , , , , , , , , , ,1,1, , , , , , , , , , ,2,2,2,2, ,1, , ,1,1,7,2, ,2, ,2, , , , ,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4, ,2,3,2,4,3,2,3,4,2,4,4,2,3,3,2,3,4,3,3,4,2,4,4,2,2,2,2,4,4,3,2,3,2,4,4,3,3,2,2,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4
84,115,EN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
